FAMID	ID	PID	MID	SEX	POP	POP_SIMPLE	COUNTRY	SPOP	CONTINENT	ORDER	POP_ORDER	SPOP_ORDER	POP_COLOR	SPOP_COLOR
HG01679	HG01679	0	0	2	IBS	Iberian	Spain	EUR	Europe	575	20	4	#6495ed	#64ebff
HG01680	HG01680	0	0	1	IBS	Iberian	Spain	EUR	Europe	576	20	4	#6495ed	#64ebff
HG01682	HG01682	0	0	1	IBS	Iberian	Spain	EUR	Europe	577	20	4	#6495ed	#64ebff
HG01684	HG01684	0	0	2	IBS	Iberian	Spain	EUR	Europe	578	20	4	#6495ed	#64ebff
HG01685	HG01685	0	0	2	IBS	Iberian	Spain	EUR	Europe	579	20	4	#6495ed	#64ebff
HG01686	HG01686	0	0	1	IBS	Iberian	Spain	EUR	Europe	580	20	4	#6495ed	#64ebff
HG01694	HG01694	0	0	1	IBS	Iberian	Spain	EUR	Europe	581	20	4	#6495ed	#64ebff
HG01695	HG01695	0	0	2	IBS	Iberian	Spain	EUR	Europe	582	20	4	#6495ed	#64ebff
HG01697	HG01697	0	0	2	IBS	Iberian	Spain	EUR	Europe	583	20	4	#6495ed	#64ebff
HG01699	HG01699	0	0	1	IBS	Iberian	Spain	EUR	Europe	584	20	4	#6495ed	#64ebff
HG01700	HG01700	0	0	1	IBS	Iberian	Spain	EUR	Europe	585	20	4	#6495ed	#64ebff
HG01702	HG01702	0	0	2	IBS	Iberian	Spain	EUR	Europe	586	20	4	#6495ed	#64ebff
HG01704	HG01704	0	0	2	IBS	Iberian	Spain	EUR	Europe	587	20	4	#6495ed	#64ebff
HG01705	HG01705	0	0	1	IBS	Iberian	Spain	EUR	Europe	588	20	4	#6495ed	#64ebff
HG01707	HG01707	0	0	2	IBS	Iberian	Spain	EUR	Europe	589	20	4	#6495ed	#64ebff
HG01708	HG01708	0	0	1	IBS	Iberian	Spain	EUR	Europe	590	20	4	#6495ed	#64ebff
HG01709	HG01709	0	0	1	IBS	Iberian	Spain	EUR	Europe	591	20	4	#6495ed	#64ebff
HG01710	HG01710	0	0	2	IBS	Iberian	Spain	EUR	Europe	592	20	4	#6495ed	#64ebff
HG01746	HG01746	0	0	2	IBS	Iberian	Spain	EUR	Europe	593	20	4	#6495ed	#64ebff
HG01747	HG01747	0	0	1	IBS	Iberian	Spain	EUR	Europe	594	20	4	#6495ed	#64ebff
HG01756	HG01756	0	0	1	IBS	Iberian	Spain	EUR	Europe	595	20	4	#6495ed	#64ebff
HG01757	HG01757	0	0	2	IBS	Iberian	Spain	EUR	Europe	596	20	4	#6495ed	#64ebff
HG01761	HG01761	0	0	1	IBS	Iberian	Spain	EUR	Europe	597	20	4	#6495ed	#64ebff
HG01762	HG01762	0	0	2	IBS	Iberian	Spain	EUR	Europe	598	20	4	#6495ed	#64ebff
HG01765	HG01765	0	0	1	IBS	Iberian	Spain	EUR	Europe	599	20	4	#6495ed	#64ebff
HG01766	HG01766	0	0	2	IBS	Iberian	Spain	EUR	Europe	600	20	4	#6495ed	#64ebff
HG01767	HG01767	0	0	1	IBS	Iberian	Spain	EUR	Europe	601	20	4	#6495ed	#64ebff
HG01768	HG01768	0	0	2	IBS	Iberian	Spain	EUR	Europe	602	20	4	#6495ed	#64ebff
HG01770	HG01770	0	0	2	IBS	Iberian	Spain	EUR	Europe	603	20	4	#6495ed	#64ebff
HG01771	HG01771	0	0	1	IBS	Iberian	Spain	EUR	Europe	604	20	4	#6495ed	#64ebff
HG01773	HG01773	0	0	2	IBS	Iberian	Spain	EUR	Europe	605	20	4	#6495ed	#64ebff
HG01775	HG01775	0	0	1	IBS	Iberian	Spain	EUR	Europe	606	20	4	#6495ed	#64ebff
HG01776	HG01776	0	0	2	IBS	Iberian	Spain	EUR	Europe	607	20	4	#6495ed	#64ebff
HG01777	HG01777	0	0	1	IBS	Iberian	Spain	EUR	Europe	608	20	4	#6495ed	#64ebff
HG01779	HG01779	0	0	2	IBS	Iberian	Spain	EUR	Europe	609	20	4	#6495ed	#64ebff
HG01781	HG01781	0	0	1	IBS	Iberian	Spain	EUR	Europe	610	20	4	#6495ed	#64ebff
HG01783	HG01783	0	0	1	IBS	Iberian	Spain	EUR	Europe	611	20	4	#6495ed	#64ebff
HG01784	HG01784	0	0	2	IBS	Iberian	Spain	EUR	Europe	612	20	4	#6495ed	#64ebff
HG01785	HG01785	0	0	1	IBS	Iberian	Spain	EUR	Europe	613	20	4	#6495ed	#64ebff
HG01786	HG01786	0	0	2	IBS	Iberian	Spain	EUR	Europe	614	20	4	#6495ed	#64ebff
HG01789	HG01789	0	0	1	GBR	British	United_Kingdom	EUR	Europe	615	18	4	#00c5cd	#64ebff
HG01790	HG01790	0	0	2	GBR	British	United_Kingdom	EUR	Europe	616	18	4	#00c5cd	#64ebff
HG01791	HG01791	0	0	1	GBR	British	United_Kingdom	EUR	Europe	617	18	4	#00c5cd	#64ebff
HG01794	HG01794	0	0	2	CDX	Chinese_Dai	China	EAS	East_Asia	618	12	1	#339900	#adff33
